provider,model,type,n,pass_at_1,avg_ttft_ms,avg_e2e_ms,tokens_in,tokens_out,total_tokens,cost_usd,cost_per_question
gemini,gemini-2.5-pro,Bingo,20,0.950,14524.8,14524.8,12980,388,13368,0.020105,0.001005
gemini,gemini-2.5-pro,Click_Order,10,0.100,9214.0,9214.0,7700,572,8272,0.015345,0.001534
gemini,gemini-2.5-pro,Connect_Icon,20,0.750,7557.7,7557.7,47544,271,47815,0.062140,0.003107
gemini,gemini-2.5-pro,Coordinates,18,0.944,7362.5,7362.5,41646,258,41904,0.054637,0.003035
gemini,gemini-2.5-pro,Dart_Count,20,0.900,18373.8,18373.8,76766,278,77044,0.098738,0.004937
gemini,gemini-2.5-pro,Dice_Count,11,0.000,9831.9,9831.9,6138,159,6297,0.009262,0.000842
gemini,gemini-2.5-pro,Geometry_Click,15,0.133,9429.1,9429.1,6865,426,7291,0.012841,0.000856
gemini,gemini-2.5-pro,Image_Matching,19,0.579,31243.3,31243.3,34542,254,34796,0.045718,0.002406
gemini,gemini-2.5-pro,Image_Recognition,20,0.700,4408.6,4408.6,51225,481,51706,0.068841,0.003442
gemini,gemini-2.5-pro,Misleading_Click,10,0.600,86873.8,86873.8,4340,259,4599,0.008015,0.000801
gemini,gemini-2.5-pro,Object_Match,20,0.950,10035.0,10035.0,35340,283,35623,0.047005,0.002350
gemini,gemini-2.5-pro,Patch_Select,10,0.000,8033.9,8033.9,5849,404,6253,0.011351,0.001135
gemini,gemini-2.5-pro,Path_Finder,10,1.000,10468.4,10468.4,18190,143,18333,0.024168,0.002417
gemini,gemini-2.5-pro,Pick_Area,20,0.100,18261.5,18261.5,8700,520,9220,0.016075,0.000804
gemini,gemini-2.5-pro,Place_Dot,20,0.000,10135.7,10135.7,10920,492,11412,0.018570,0.000928
gemini,gemini-2.5-pro,Rotation_Match,20,0.300,17648.5,17648.5,14040,305,14345,0.020600,0.001030
gemini,gemini-2.5-pro,Select_Animal,20,1.000,5104.8,5104.8,9786,320,10106,0.015433,0.000772
gemini,gemini-2.5-pro,Unusual_Detection,20,0.550,11422.6,11422.6,10360,375,10735,0.016700,0.000835
