provider,model,type,n,pass_at_1,avg_ttft_ms,avg_e2e_ms,tokens_in,tokens_out,total_tokens,cost_usd,cost_per_question
openai,gpt-5.1,Bingo,20,0.05,4485.8,4493.4,17380,448,17828,0.026205,0.00131
openai,gpt-5.1,Click_Order,10,0.1,3451.1,3454.2,7130,614,7744,0.015052,0.001505
openai,gpt-5.1,Connect_Icon,20,0.15,7442.0,7447.5,72389,429,72818,0.094776,0.004739
openai,gpt-5.1,Coordinates,18,0.167,8342.0,8350.6,95294,411,95705,0.123228,0.006846
openai,gpt-5.1,Dart_Count,20,0.1,24077.4,24088.2,176930,447,177377,0.225632,0.011282
openai,gpt-5.1,Dice_Count,11,0.0,5438.1,5440.8,10638,232,10870,0.015618,0.00142
openai,gpt-5.1,Geometry_Click,15,0.333,2144.4,2145.0,5939,463,6402,0.012054,0.000804
openai,gpt-5.1,Image_Matching,19,0.158,17595.1,17607.1,77347,411,77758,0.100794,0.005305
openai,gpt-5.1,Image_Recognition,20,0.75,3455.5,3460.1,41206,592,41798,0.057428,0.002871
openai,gpt-5.1,Misleading_Click,10,0.9,3813.0,3817.9,7670,312,7982,0.012708,0.001271
openai,gpt-5.1,Object_Match,20,0.25,15680.4,15691.7,78720,438,79158,0.10278,0.005139
openai,gpt-5.1,Patch_Select,10,0.1,2484.4,2486.9,5789,337,6126,0.010606,0.001061
openai,gpt-5.1,Path_Finder,10,1.0,7741.5,7752.2,38950,225,39175,0.050938,0.005094
openai,gpt-5.1,Pick_Area,20,0.05,2930.2,2933.6,7040,600,7640,0.0148,0.00074
openai,gpt-5.1,Place_Dot,20,0.05,2824.2,2827.7,15500,614,16114,0.025515,0.001276
openai,gpt-5.1,Rotation_Match,20,0.25,5872.3,5876.9,28900,442,29342,0.040545,0.002027
openai,gpt-5.1,Select_Animal,20,1.0,4561.4,4567.0,15833,429,16262,0.024081,0.001204
openai,gpt-5.1,Unusual_Detection,20,0.4,4085.8,4093.3,16240,484,16724,0.02514,0.001257
