kind,provider,model,type,puzzle_id,attempt_idx,cumulative_ms,pass1,notes
summary,anthropic,claude-sonnet-4-5,Path_Finder,path3.JPG,1,6705.5,1,
summary,anthropic,claude-sonnet-4-5,Dart_Count,dart_puzzle_13.json,9,191346.5,1,
summary,anthropic,claude-sonnet-4-5,Click_Order,image5.png,6,35656.7,1,
summary,anthropic,claude-sonnet-4-5,Unusual_Detection,unusual21.png,6,30298.5,1,
summary,anthropic,claude-sonnet-4-5,Image_Recognition,images20,1,3164.0,1,
summary,anthropic,claude-sonnet-4-5,Misleading_Click,image4.png,1,4909.3,1,
summary,anthropic,claude-sonnet-4-5,Coordinates,,10,178519.6,0,
summary,anthropic,claude-sonnet-4-5,Object_Match,,10,59573.2,0,
summary,anthropic,claude-sonnet-4-5,Rotation_Match,puzzle_cat_direction_1.json,4,19690.1,1,
summary,anthropic,claude-sonnet-4-5,Geometry_Click,vtt_000005.jpg,1,3063.1,1,
summary,anthropic,claude-sonnet-4-5,Bingo,bingo20.png,9,35853.7,1,
summary,anthropic,claude-sonnet-4-5,Place_Dot,path23.png,4,14151.1,1,
summary,anthropic,claude-sonnet-4-5,Image_Matching,,10,182974.6,0,
summary,anthropic,claude-sonnet-4-5,Dice_Count,dice1.png,7,33587.5,1,
summary,anthropic,claude-sonnet-4-5,Patch_Select,image7.jpg,3,10973.5,1,
summary,anthropic,claude-sonnet-4-5,Connect_Icon,puzzle16.json,3,18068.3,1,
summary,anthropic,claude-sonnet-4-5,Select_Animal,image25.png,1,36962.2,1,
summary,anthropic,claude-sonnet-4-5,Pick_Area,image2.png,9,31071.2,1,
