provider,model,type,n,pass_at_1,avg_ttft_ms,avg_e2e_ms,tokens_in,tokens_out,total_tokens,cost_usd,cost_per_question
openai,gpt-5-chat-latest,Bingo,10,0.100,2967.3,2976.2,8700,160,8860,0.012475,0.001247
openai,gpt-5-chat-latest,Click_Order,10,0.000,2145.0,2147.5,7140,600,7740,0.014925,0.001493
openai,gpt-5-chat-latest,Connect_Icon,10,0.200,3279.1,3283.2,22190,140,22330,0.029138,0.002914
openai,gpt-5-chat-latest,Coordinates,10,0.500,9454.7,9466.7,50120,140,50260,0.064050,0.006405
openai,gpt-5-chat-latest,Dart_Count,10,0.100,14261.7,14272.7,82490,140,82630,0.104512,0.010451
openai,gpt-5-chat-latest,Dice_Count,10,0.000,3588.1,3598.6,9630,130,9760,0.013338,0.001334
openai,gpt-5-chat-latest,Geometry_Click,10,0.000,990.3,991.8,4068,230,4298,0.007385,0.000739
openai,gpt-5-chat-latest,Image_Matching,10,0.100,15918.5,15931.3,40800,140,40940,0.052400,0.005240
openai,gpt-5-chat-latest,Image_Recognition,10,0.600,2409.7,2415.2,20616,257,20873,0.028340,0.002834
openai,gpt-5-chat-latest,Misleading_Click,10,0.700,2595.7,2601.6,7680,230,7910,0.011900,0.001190
openai,gpt-5-chat-latest,Object_Match,10,0.000,21953.1,21974.4,39370,140,39510,0.050612,0.005061
openai,gpt-5-chat-latest,Patch_Select,10,0.200,1259.6,1262.2,5799,320,6119,0.010449,0.001045
openai,gpt-5-chat-latest,Path_Finder,10,1.000,5615.5,5626.8,38960,140,39100,0.050100,0.005010
openai,gpt-5-chat-latest,Pick_Area,10,0.100,6154.5,6171.2,7730,230,7960,0.011963,0.001196
openai,gpt-5-chat-latest,Place_Dot,10,0.000,1626.1,1629.0,7760,230,7990,0.012000,0.001200
openai,gpt-5-chat-latest,Rotation_Match,10,0.200,3227.7,3234.3,13480,130,13610,0.018150,0.001815
openai,gpt-5-chat-latest,Select_Animal,10,1.000,3444.3,3454.2,7952,140,8092,0.011340,0.001134
openai,gpt-5-chat-latest,Unusual_Detection,10,0.300,2965.0,2973.8,7990,149,8139,0.011477,0.001148
