provider,model,type,n,pass_at_1,avg_ttft_ms,avg_e2e_ms,tokens_in,tokens_out,total_tokens,cost_usd,cost_per_question
gemini,gemini-2.5-flash,Bingo,10,0.400,8001.5,8001.5,4130,569,4699,0.002661,0.000266
gemini,gemini-2.5-flash,Click_Order,10,0.000,3254.5,3254.5,6760,1080,7840,0.004728,0.000473
gemini,gemini-2.5-flash,Connect_Icon,10,0.400,5587.9,5587.9,21880,628,22508,0.008134,0.000813
gemini,gemini-2.5-flash,Coordinates,10,0.100,4378.1,4378.1,20242,421,20663,0.007125,0.000713
gemini,gemini-2.5-flash,Dart_Count,10,0.000,7534.1,7534.1,34542,529,35071,0.011685,0.001168
gemini,gemini-2.5-flash,Dice_Count,10,0.100,6664.5,6664.5,3710,1026,4736,0.003678,0.000368
gemini,gemini-2.5-flash,Geometry_Click,10,0.000,2719.0,2719.0,4034,580,4614,0.002660,0.000266
gemini,gemini-2.5-flash,Image_Matching,10,0.300,5986.9,5986.9,17186,479,17665,0.006353,0.000635
gemini,gemini-2.5-flash,Image_Recognition,10,0.800,2504.1,2504.1,24485,644,25129,0.008955,0.000895
gemini,gemini-2.5-flash,Misleading_Click,10,0.600,4403.0,4403.0,4020,661,4681,0.002858,0.000286
gemini,gemini-2.5-flash,Object_Match,10,0.400,7779.3,7779.3,16690,487,17177,0.006224,0.000622
gemini,gemini-2.5-flash,Patch_Select,10,0.000,2772.3,2772.3,3809,618,4427,0.002688,0.000269
gemini,gemini-2.5-flash,Path_Finder,10,0.600,5451.6,5451.6,3501,513,4014,0.002333,0.000233
gemini,gemini-2.5-flash,Pick_Area,10,0.100,8949.2,8949.2,4060,688,4748,0.002938,0.000294
gemini,gemini-2.5-flash,Place_Dot,10,0.000,3177.0,3177.0,4100,671,4771,0.002907,0.000291
gemini,gemini-2.5-flash,Rotation_Match,10,0.400,6119.4,6119.4,6370,626,6996,0.003476,0.000348
gemini,gemini-2.5-flash,Select_Animal,10,1.000,2814.5,2814.5,3780,396,4176,0.002124,0.000212
gemini,gemini-2.5-flash,Unusual_Detection,10,0.400,4819.4,4819.4,3820,562,4382,0.002551,0.000255
