provider,model,type,n,pass_at_1,avg_ttft_ms,avg_e2e_ms,tokens_in,tokens_out,total_tokens,cost_usd,cost_per_question
gemini,gemini-2.5-flash,Bingo,20,0.900,8719.0,8719.0,9220,340,9560,0.003616,0.000181
gemini,gemini-2.5-flash,Click_Order,10,0.000,4561.1,4561.1,6270,734,7004,0.003716,0.000372
gemini,gemini-2.5-flash,Connect_Icon,20,0.450,4421.9,4421.9,45404,280,45684,0.014321,0.000716
gemini,gemini-2.5-flash,Coordinates,18,0.667,4059.1,4059.1,39666,252,39918,0.012530,0.000696
gemini,gemini-2.5-flash,Dart_Count,20,0.250,9827.5,9827.5,73026,285,73311,0.022620,0.001131
gemini,gemini-2.5-flash,Dice_Count,11,0.091,6348.1,6348.1,3553,167,3720,0.001483,0.000135
gemini,gemini-2.5-flash,Geometry_Click,15,0.000,4165.9,4165.9,5335,433,5768,0.002683,0.000179
gemini,gemini-2.5-flash,Image_Matching,19,0.737,9465.9,9465.9,31901,266,32167,0.010235,0.000539
gemini,gemini-2.5-flash,Image_Recognition,20,0.850,2269.7,2269.7,49065,521,49586,0.016022,0.000801
gemini,gemini-2.5-flash,Misleading_Click,10,0.800,2785.2,2785.2,3540,290,3830,0.001787,0.000179
gemini,gemini-2.5-flash,Object_Match,20,0.850,6927.8,6927.8,33240,280,33520,0.010672,0.000534
gemini,gemini-2.5-flash,Patch_Select,10,0.200,3291.8,3291.8,4209,375,4584,0.002200,0.000220
gemini,gemini-2.5-flash,Path_Finder,10,1.000,3138.5,3138.5,16190,140,16330,0.005207,0.000521
gemini,gemini-2.5-flash,Pick_Area,20,0.150,5306.5,5306.5,7160,580,7740,0.003598,0.000180
gemini,gemini-2.5-flash,Place_Dot,20,0.000,14459.7,14459.7,7240,551,7791,0.003549,0.000177
gemini,gemini-2.5-flash,Rotation_Match,20,0.150,8173.7,8173.7,11780,298,12078,0.004279,0.000214
gemini,gemini-2.5-flash,Select_Animal,20,1.000,3063.6,3063.6,7606,320,7926,0.003082,0.000154
gemini,gemini-2.5-flash,Unusual_Detection,20,0.600,4399.6,4399.6,7740,383,8123,0.003279,0.000164
