schema_version,run_id,evidence_row_id,evidence_mode,provider,model,provider_model,task_type,task_family,evidence_origin,source_kind,source_provenance_class,source_provenance_notes,provenance_caveat,real_external_evidence,sample_count,attempt_count,success_count,original_rate,corrected_static_rate,corrected_adaptive_rate,adaptive_success_at_3,adaptive_success_at_5,bernoulli_success_at_3,bernoulli_success_at_5,round_count,attempt_budget_k,intermediate_budget_k,memory_isolation,ci_low,ci_high,ci_method,ci_note,agreement_status,diverges_from_original,divergence_reason,scientific_wrong_count,protocol_failure_count,infrastructure_failure_count,claim_boundary_note,claim_effect,direct_evidence,adaptive_hard_scope_evidence,contextual_sota_only,claim_use,source_artifact_path,selected_manifest_path,adaptive_scope_rationale
cognition.revision.phase042.final_evidence.v1,exp5_final_outputs_20260522,exp5_evidence_analysis-anthropic-claude-sonnet-4-5-Hole_Counting-static,static,anthropic,claude-sonnet-4-5,anthropic/claude-sonnet-4-5,Hole_Counting,Counting,new_category,open_source_dataset,preferred_real_external,Real external NextGen-CAPTCHAs hole-counting grid-select samples added as an additional Phase 04.2 new category per user direction.,,True,20,20,0,,0.0,,,,,,0,0,0,,0.0,0.16112515805281927,wilson_95,Wilson interval over corrected static attempts.,inconclusive,False,Original or corrected rate is unavailable.,20,0,0,"Corrected Phase 04.2 evidence uses the 40% reporting heuristic only for claim-boundary reporting, not as a universal CAPTCHA security boundary. This row supports the structural-hardness claim within scope.",supports_structural_hardness,True,False,False,main_body_direct_evidence,results/exp5/evidence_analysis/exp5_evidence_analysis.json,expanded_captcha_data/phase04_2/phase042_selected_manifest.json,
cognition.revision.phase042.final_evidence.v1,exp5_final_outputs_20260522,exp5_evidence_analysis-anthropic-claude-sonnet-4-5-Relation_Match-static,static,anthropic,claude-sonnet-4-5,anthropic/claude-sonnet-4-5,Relation_Match,Relational Matching,new_category,open_source_dataset,preferred_real_external,"Offline geetest image, question, detection, and answer-id metadata extracted from the VIPER_code Zenodo artifact; no live CAPTCHA service or browser workflow is used.",,True,30,30,3,,0.1,,,,,,0,0,0,,0.034599888747334204,0.2562108257918408,wilson_95,Wilson interval over corrected static attempts.,inconclusive,False,Original or corrected rate is unavailable.,27,0,0,"Corrected Phase 04.2 evidence uses the 40% reporting heuristic only for claim-boundary reporting, not as a universal CAPTCHA security boundary. This row supports the structural-hardness claim within scope.",supports_structural_hardness,True,False,False,main_body_direct_evidence,results/exp5/evidence_analysis/exp5_evidence_analysis.json,expanded_captcha_data/phase04_2/phase042_selected_manifest.json,
cognition.revision.phase042.final_evidence.v1,exp5_final_outputs_20260522,exp5_evidence_analysis-anthropic-claude-sonnet-4-5-Symbol_Count-static,static,anthropic,claude-sonnet-4-5,anthropic/claude-sonnet-4-5,Symbol_Count,Counting,new_category,open_source_dataset,preferred_real_external,Real external NextGen-CAPTCHAs occluded-pattern counting samples normalized into the existing single-integer Symbol_Count contract.,,True,30,30,1,,0.03333333333333333,,,,,,0,0,0,,0.005908590381612441,0.16670390991409167,wilson_95,Wilson interval over corrected static attempts.,inconclusive,False,Original or corrected rate is unavailable.,29,0,0,"Corrected Phase 04.2 evidence uses the 40% reporting heuristic only for claim-boundary reporting, not as a universal CAPTCHA security boundary. This row supports the structural-hardness claim within scope.",supports_structural_hardness,True,False,False,main_body_direct_evidence,results/exp5/evidence_analysis/exp5_evidence_analysis.json,expanded_captcha_data/phase04_2/phase042_selected_manifest.json,
cognition.revision.phase042.final_evidence.v1,exp5_final_outputs_20260522,exp5_evidence_analysis-gemini-gemini-2.5-flash-Hole_Counting-static,static,gemini,gemini-2.5-flash,gemini/gemini-2.5-flash,Hole_Counting,Counting,new_category,open_source_dataset,preferred_real_external,Real external NextGen-CAPTCHAs hole-counting grid-select samples added as an additional Phase 04.2 new category per user direction.,,True,20,20,0,,0.0,,,,,,0,0,0,,0.0,0.16112515805281927,wilson_95,Wilson interval over corrected static attempts.,inconclusive,False,Original or corrected rate is unavailable.,20,0,0,"Corrected Phase 04.2 evidence uses the 40% reporting heuristic only for claim-boundary reporting, not as a universal CAPTCHA security boundary. This row supports the structural-hardness claim within scope.",supports_structural_hardness,True,False,False,main_body_direct_evidence,results/exp5/evidence_analysis/exp5_evidence_analysis.json,expanded_captcha_data/phase04_2/phase042_selected_manifest.json,
cognition.revision.phase042.final_evidence.v1,exp5_final_outputs_20260522,exp5_evidence_analysis-gemini-gemini-2.5-flash-Relation_Match-static,static,gemini,gemini-2.5-flash,gemini/gemini-2.5-flash,Relation_Match,Relational Matching,new_category,open_source_dataset,preferred_real_external,"Offline geetest image, question, detection, and answer-id metadata extracted from the VIPER_code Zenodo artifact; no live CAPTCHA service or browser workflow is used.",,True,30,30,2,,0.06666666666666667,,,,,,0,0,0,,0.018477023791270406,0.21323458362616915,wilson_95,Wilson interval over corrected static attempts.,inconclusive,False,Original or corrected rate is unavailable.,28,0,0,"Corrected Phase 04.2 evidence uses the 40% reporting heuristic only for claim-boundary reporting, not as a universal CAPTCHA security boundary. This row supports the structural-hardness claim within scope.",supports_structural_hardness,True,False,False,main_body_direct_evidence,results/exp5/evidence_analysis/exp5_evidence_analysis.json,expanded_captcha_data/phase04_2/phase042_selected_manifest.json,
cognition.revision.phase042.final_evidence.v1,exp5_final_outputs_20260522,exp5_evidence_analysis-gemini-gemini-2.5-flash-Symbol_Count-static,static,gemini,gemini-2.5-flash,gemini/gemini-2.5-flash,Symbol_Count,Counting,new_category,open_source_dataset,preferred_real_external,Real external NextGen-CAPTCHAs occluded-pattern counting samples normalized into the existing single-integer Symbol_Count contract.,,True,30,30,0,,0.0,,,,,,0,0,0,,1.3877787807814457e-17,0.11351339317396869,wilson_95,Wilson interval over corrected static attempts.,inconclusive,False,Original or corrected rate is unavailable.,30,0,0,"Corrected Phase 04.2 evidence uses the 40% reporting heuristic only for claim-boundary reporting, not as a universal CAPTCHA security boundary. This row supports the structural-hardness claim within scope.",supports_structural_hardness,True,False,False,main_body_direct_evidence,results/exp5/evidence_analysis/exp5_evidence_analysis.json,expanded_captcha_data/phase04_2/phase042_selected_manifest.json,
cognition.revision.phase042.final_evidence.v1,exp5_final_outputs_20260522,exp5_evidence_analysis-gemini-gemini-2.5-pro-Hole_Counting-static,static,gemini,gemini-2.5-pro,gemini/gemini-2.5-pro,Hole_Counting,Counting,new_category,open_source_dataset,preferred_real_external,Real external NextGen-CAPTCHAs hole-counting grid-select samples added as an additional Phase 04.2 new category per user direction.,,True,20,20,0,,0.0,,,,,,0,0,0,,0.0,0.16112515805281927,wilson_95,Wilson interval over corrected static attempts.,inconclusive,False,Original or corrected rate is unavailable.,20,0,0,"Corrected Phase 04.2 evidence uses the 40% reporting heuristic only for claim-boundary reporting, not as a universal CAPTCHA security boundary. This row supports the structural-hardness claim within scope.",supports_structural_hardness,True,False,False,main_body_direct_evidence,results/exp5/evidence_analysis/exp5_evidence_analysis.json,expanded_captcha_data/phase04_2/phase042_selected_manifest.json,
cognition.revision.phase042.final_evidence.v1,exp5_final_outputs_20260522,exp5_evidence_analysis-gemini-gemini-2.5-pro-Relation_Match-static,static,gemini,gemini-2.5-pro,gemini/gemini-2.5-pro,Relation_Match,Relational Matching,new_category,open_source_dataset,preferred_real_external,"Offline geetest image, question, detection, and answer-id metadata extracted from the VIPER_code Zenodo artifact; no live CAPTCHA service or browser workflow is used.",,True,30,30,2,,0.06666666666666667,,,,,,0,0,0,,0.018477023791270406,0.21323458362616915,wilson_95,Wilson interval over corrected static attempts.,inconclusive,False,Original or corrected rate is unavailable.,28,0,0,"Corrected Phase 04.2 evidence uses the 40% reporting heuristic only for claim-boundary reporting, not as a universal CAPTCHA security boundary. This row supports the structural-hardness claim within scope.",supports_structural_hardness,True,False,False,main_body_direct_evidence,results/exp5/evidence_analysis/exp5_evidence_analysis.json,expanded_captcha_data/phase04_2/phase042_selected_manifest.json,
cognition.revision.phase042.final_evidence.v1,exp5_final_outputs_20260522,exp5_evidence_analysis-gemini-gemini-2.5-pro-Symbol_Count-static,static,gemini,gemini-2.5-pro,gemini/gemini-2.5-pro,Symbol_Count,Counting,new_category,open_source_dataset,preferred_real_external,Real external NextGen-CAPTCHAs occluded-pattern counting samples normalized into the existing single-integer Symbol_Count contract.,,True,30,30,0,,0.0,,,,,,0,0,0,,1.3877787807814457e-17,0.11351339317396869,wilson_95,Wilson interval over corrected static attempts.,inconclusive,False,Original or corrected rate is unavailable.,30,0,0,"Corrected Phase 04.2 evidence uses the 40% reporting heuristic only for claim-boundary reporting, not as a universal CAPTCHA security boundary. This row supports the structural-hardness claim within scope.",supports_structural_hardness,True,False,False,main_body_direct_evidence,results/exp5/evidence_analysis/exp5_evidence_analysis.json,expanded_captcha_data/phase04_2/phase042_selected_manifest.json,
cognition.revision.phase042.final_evidence.v1,exp5_final_outputs_20260522,exp5_evidence_analysis-openai-gpt-5-Hole_Counting-static,static,openai,gpt-5,openai/gpt-5,Hole_Counting,Counting,new_category,open_source_dataset,preferred_real_external,Real external NextGen-CAPTCHAs hole-counting grid-select samples added as an additional Phase 04.2 new category per user direction.,,True,20,20,0,,0.0,,,,,,0,0,0,,0.0,0.16112515805281927,wilson_95,Wilson interval over corrected static attempts.,inconclusive,False,Original or corrected rate is unavailable.,20,0,0,"Corrected Phase 04.2 evidence uses the 40% reporting heuristic only for claim-boundary reporting, not as a universal CAPTCHA security boundary. This row supports the structural-hardness claim within scope.",supports_structural_hardness,True,False,False,main_body_direct_evidence,results/exp5/evidence_analysis/exp5_evidence_analysis.json,expanded_captcha_data/phase04_2/phase042_selected_manifest.json,
