provider,model,type,n,pass_at_1,avg_ttft_ms,avg_e2e_ms,tokens_in,tokens_out,total_tokens,cost_usd,cost_per_question
anthropic,claude-sonnet-4-5,Bingo,20,0.100,6017.1,6017.1,47101,1140,48241,0.158403,0.007920
anthropic,claude-sonnet-4-5,Click_Order,10,0.500,3666.1,3666.1,12751,1172,13923,0.055833,0.005583
anthropic,claude-sonnet-4-5,Connect_Icon,20,0.250,9742.5,9742.5,100946,1040,101986,0.318438,0.015922
anthropic,claude-sonnet-4-5,Coordinates,18,0.111,14153.7,14153.7,141212,520,141732,0.431436,0.023969
anthropic,claude-sonnet-4-5,Dart_Count,20,0.100,27994.7,27994.7,283616,1040,284656,0.866448,0.043322
anthropic,claude-sonnet-4-5,Dice_Count,11,0.000,5064.1,5064.1,26847,572,27419,0.089121,0.008102
anthropic,claude-sonnet-4-5,Geometry_Click,15,0.600,3400.7,3400.7,15750,960,16710,0.061650,0.004110
anthropic,claude-sonnet-4-5,Image_Matching,19,0.105,18733.7,18733.7,173725,988,174713,0.535995,0.028210
anthropic,claude-sonnet-4-5,Image_Recognition,20,0.550,3634.8,3634.8,22592,1300,23892,0.087276,0.004364
anthropic,claude-sonnet-4-5,Misleading_Click,10,0.800,3549.4,3549.4,15490,640,16130,0.056070,0.005607
anthropic,claude-sonnet-4-5,Object_Match,20,0.050,6746.5,6746.5,93586,676,94262,0.290898,0.014545
anthropic,claude-sonnet-4-5,Patch_Select,10,0.200,3190.9,3190.9,13641,764,14405,0.052383,0.005238
anthropic,claude-sonnet-4-5,Path_Finder,10,1.000,14291.7,14291.7,100890,520,101410,0.310470,0.031047
anthropic,claude-sonnet-4-5,Pick_Area,20,0.100,3293.9,3293.9,22620,1280,23900,0.087060,0.004353
anthropic,claude-sonnet-4-5,Place_Dot,20,0.050,3340.6,3340.6,28100,1280,29380,0.103500,0.005175
anthropic,claude-sonnet-4-5,Rotation_Match,20,0.350,7884.5,7884.5,64531,1040,65571,0.209193,0.010460
anthropic,claude-sonnet-4-5,Select_Animal,20,1.000,4225.9,4225.9,44906,1120,46026,0.151518,0.007576
anthropic,claude-sonnet-4-5,Unusual_Detection,20,0.250,3953.6,3953.6,45440,1168,46608,0.153840,0.007692
