provider,model,type,n,pass_at_1,avg_ttft_ms,avg_e2e_ms,tokens_in,tokens_out,total_tokens,cost_usd,cost_per_question
openai,gpt-5,Bingo,10,0.900,63532.6,63540.9,10530,27380,37910,0.286963,0.028696
openai,gpt-5,Click_Order,10,0.200,28704.2,28707.9,8480,11178,19658,0.122380,0.012238
openai,gpt-5,Connect_Icon,10,0.900,45449.5,45454.7,23220,17642,40862,0.205445,0.020545
openai,gpt-5,Coordinates,10,0.800,42458.9,42474.3,51170,16170,67340,0.225663,0.022566
openai,gpt-5,Dart_Count,10,0.900,69588.2,69603.6,84260,23786,108046,0.343185,0.034319
openai,gpt-5,Dice_Count,10,0.300,93777.2,93789.1,11810,44768,56578,0.462443,0.046244
openai,gpt-5,Geometry_Click,10,0.600,19841.7,19843.3,4874,7718,12592,0.083272,0.008327
openai,gpt-5,Image_Matching,10,0.900,24350.0,24364.3,42130,4586,46716,0.098523,0.009852
openai,gpt-5,Image_Recognition,10,0.800,11696.4,11702.7,21656,3900,25556,0.066070,0.006607
openai,gpt-5,Misleading_Click,10,1.000,27527.2,27533.9,8410,12262,20672,0.133133,0.013313
openai,gpt-5,Object_Match,10,0.900,47446.0,47472.7,40380,12522,52902,0.175695,0.017569
openai,gpt-5,Patch_Select,10,0.400,59913.6,59916.5,7349,23128,30477,0.240466,0.024047
openai,gpt-5,Path_Finder,10,1.000,26187.1,26199.6,40810,8682,49492,0.137833,0.013783
openai,gpt-5,Pick_Area,10,0.000,35349.2,35368.2,8450,14566,23016,0.156223,0.015622
openai,gpt-5,Place_Dot,10,0.100,28453.5,28457.5,9470,12902,22372,0.140857,0.014086
openai,gpt-5,Rotation_Match,10,0.100,29493.5,29500.0,14990,12448,27438,0.143217,0.014322
openai,gpt-5,Select_Animal,10,1.000,9440.4,9451.5,8992,1962,10954,0.030860,0.003086
openai,gpt-5,Unusual_Detection,10,0.300,21116.9,21126.4,9240,8378,17618,0.095330,0.009533
