provider,model,type,n,pass_at_1,avg_ttft_ms,avg_e2e_ms,tokens_in,tokens_out,total_tokens,cost_usd,cost_per_question
openai,gpt-5.1,Bingo,20,0.950,38182.0,38189.2,21060,35031,56091,0.376635,0.018832
openai,gpt-5.1,Click_Order,10,0.100,16376.1,16378.9,8480,5827,14307,0.068870,0.006887
openai,gpt-5.1,Connect_Icon,20,0.850,20549.9,20555.8,74469,18580,93049,0.278886,0.013944
openai,gpt-5.1,Coordinates,18,0.722,32892.4,32900.6,97202,32073,129275,0.442233,0.024569
openai,gpt-5.1,Dart_Count,20,0.950,42039.0,42049.4,180490,16526,197016,0.390873,0.019544
openai,gpt-5.1,Dice_Count,11,0.000,42875.1,42885.8,13047,30607,43654,0.322379,0.029307
openai,gpt-5.1,Geometry_Click,15,0.467,8322.4,8324.1,7379,3266,10645,0.041884,0.002792
openai,gpt-5.1,Image_Matching,19,0.737,31313.2,31325.2,79893,18759,98652,0.287456,0.015129
openai,gpt-5.1,Image_Recognition,20,0.850,5072.5,5077.9,43306,3010,46316,0.084233,0.004212
openai,gpt-5.1,Misleading_Click,10,0.800,10682.6,10689.6,8410,4801,13211,0.058523,0.005852
openai,gpt-5.1,Object_Match,20,0.800,30871.6,30880.5,80760,18740,99500,0.288350,0.014417
openai,gpt-5.1,Patch_Select,10,0.200,20506.4,20509.6,7349,12336,19685,0.132546,0.013255
openai,gpt-5.1,Path_Finder,10,1.000,22480.3,22491.0,40810,6381,47191,0.114823,0.011482
openai,gpt-5.1,Pick_Area,20,0.150,6420.6,6424.5,8500,5934,14434,0.069965,0.003498
openai,gpt-5.1,Place_Dot,20,0.150,6904.3,6908.2,18940,6885,25825,0.092525,0.004626
openai,gpt-5.1,Rotation_Match,20,0.100,22264.7,22268.7,31100,18005,49105,0.218925,0.010946
openai,gpt-5.1,Select_Animal,20,1.000,5274.4,5282.7,17932,1520,19452,0.037615,0.001881
openai,gpt-5.1,Unusual_Detection,20,0.600,8636.0,8643.5,18760,4852,23612,0.071970,0.003599
